nama;klub;nationality;age;pos;app;min;g;a;ball_rec;block;crosses_blocked;clearance;CC;take_on_s;foul;offside;fouled;cs;g_conceded;tackle;header;intercept;OG;crs;att_pass;pass_suc;g_penalty;saves;son;soff;shots;yc;rc
alexis messidoro;persis;arg;26;mf;9;785;1;5;4;2;;3;15;8;13;2;7;;;33;1;34;;2;405;375;1;;6;5;11;2;
muhamad faqih;persis;idn;19;df;8;384;;2;;;;1;4;;8;1;11;;;11;1;12;1;5;117;94;;;;0;;;
david gonzalez;persis;spa;30;fw;9;521;1;1;;;;;3;1;9;2;10;;;2;;3;;1;125;94;;;4;3;7;;
arapenta lingka;persis;idn;25;mf;10;321;1;;4;;;;3;;13;;8;;;9;;4;;;120;89;;;2;1;3;1;
samuel christianson;persis;idn;24;df;2;74;;;;1;;1;;1;;;;;;;;7;;;26;21;;;;0;;;
panca nur w;persis;idn;23;gk;5;450;;;;;;4;;;1;;;1;5;;;1;;;113;78;;23;;0;;;
irfan jauhari;persis;idn;22;fw;5;241;;;;;;1;3;;2;;8;;;4;;6;;2;71;54;;;1;1;2;;
althaf indi alrizky;persis;idn;20;fw;8;168;;;;;;;2;1;5;;;;;6;;9;;2;56;43;;;;0;;1;
chrystna bagascara;persis;idn;25;mf;3;153;;;;;;2;;1;4;;;;;1;;6;;1;67;52;;;;0;;1;
muhamad kanu;persis;idn;22;mf;4;137;;;;;;3;;;6;;;;;7;;2;;;41;29;;;;0;;2;
muhamad darmawan;persita;idn;21;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
rendy oscario;persita;idn;25;gk;3;270;;;;;;2;;;;;;;5;;;;;;55;40;;8;;0;;;
sahrul reza mugi rahayu;persita;idn;21;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
abu rizal maulana;persita;idn;29;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
mohammad afganiladin;persita;idn;22;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
adeyemmy makinde;persita;idn;19;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
jack brown;persita;idn;22;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
arif setiawan;persita;idn;27;df;1;14;;;;;;;;;1;;;;;2;;;;;10;6;;;;0;;;
badrian;persita;idn;21;mf;1;1;;;;;;;;;1;;;;;;;1;;;3;3;;;;0;;;
ikwan ali tanamal;persita;idn;20;mf;1;1;;;;;;;;;;;;;;;;;;;2;1;;;;0;;;
sirvi arvani;persita;idn;31;fw;1;5;;;;;;;;;;;;;;;;;;;;;;;;0;;;
andrean benyamin rindo;persita;idn;19;df;2;32;;;;;;1;;;;;;;;2;;;;;10;8;;;;0;;;
heri susanto;persita;idn;29;fw;3;93;;;;;;;;;;;;;;1;;;;;35;26;;;;1;1;;
christian mangaron;persita;phi;24;df;10;900;2;;2;4;;38;;;13;1;9;;;15;11;71;;1;423;380;;;4;1;5;1;
ramiro fergonzi;persita;arg;34;fw;10;843;2;;3;1;;15;11;;21;2;18;;;13;8;15;;4;265;186;;;8;15;23;1;
javlon guseynov;persita;uzb;32;df;9;810;;1;2;6;;30;2;;14;1;7;;;12;3;48;;;449;388;;;3;2;5;4;
daniel mateo bustos;persita;arg;31;mf;9;595;;1;8;1;;1;11;;16;1;17;;;17;3;4;;2;254;175;;;4;5;9;4;
irsyad maulana;persita;idn;30;fw;9;631;;1;4;1;;;8;1;10;3;10;;;9;;5;;5;260;198;;;2;6;8;1;
mario jardel;persita;idn;23;df;10;860;;;4;3;;17;2;1;9;1;16;;;17;3;44;;4;452;384;;;;1;1;4;
fahreza sudin;persita;idn;23;mf;10;551;;;5;2;;;3;;16;1;10;;;14;1;11;;2;254;205;;;2;3;5;1;
achmad fahd alchoir;persita;idn;20;mf;9;277;;;2;;;3;;2;6;;;;;10;4;17;;;134;113;;;;1;1;1;
esal sahrul;persita;idn;21;fw;5;149;2;;;;;;;2;3;2;;;;3;;5;;;48;33;;;3;2;5;;
hanis sagara;persita;idn;24;fw;10;286;1;;3;;;1;5;;4;;;;;4;;1;;;94;78;;;2;2;4;2;
norberto ezequiel vidal;persita;arg;28;mf;10;825;2;3;5;;;2;16;3;15;4;10;;;6;1;10;;1;336;218;1;;12;16;28;2;
mohammad toha;persita;idn;26;df;10;823;;;;4;;14;6;2;5;;20;;;28;;37;;6;476;408;;;;1;1;2;
charisma fatoni;persita;idn;22;df;1;59;;;;2;;1;;;;;;;;2;;3;;;22;19;;;;0;;;
sin yeong bae;persita;kor;31;mf;7;624;;;;2;;5;12;;13;;15;;;11;;21;;1;346;300;;;1;2;3;2;
aditya harlan;persita;idn;36;gk;7;630;;;;;;3;;;;;;3;7;1;;;;;107;77;;12;;0;;;
surya budi;persita;idn;21;fw;2;154;;;;;;;;3;2;1;;;;2;1;1;;;49;34;;;1;1;2;;
abrizal umanailo;persita;idn;27;fw;4;78;;;;;;;;2;1;1;;;;2;;1;;;31;24;;;;0;;1;
rifky dwi septiawan;persita;idn;21;mf;5;262;;;;;;;;1;13;;;;;6;;5;;;138;112;;;1;2;3;2;
fairuzz zaman ;persita;idn;21;df;6;131;;;;;;;;1;2;;;;;6;1;1;;;83;67;;;1;1;2;2;
murilo mendes;barito;bra;28;fw;10;871;5;1;5;1;;1;7;7;25;1;47;;;20;3;13;;4;246;189;;;13;14;27;3;
gustavo henrique;barito;bra;27;fw;10;887;6;3;6;1;;5;11;1;14;4;16;;;7;10;6;;;237;189;3;;10;8;18;2;
eksel timothy;barito;idn;24;fw;5;77;1;;;;;;;;2;;;;;1;2;4;;;8;8;;;3;0;3;;
renan alves;barito;bra;30;df;10;896;1;;;11;;35;;3;15;;11;;;15;13;52;;;297;215;;;5;9;14;3;
bagus kahfi;barito;idn;21;fw;10;442;;1;4;;;2;6;2;8;;6;;;6;2;10;;;115;81;;;3;5;8;;
bagas kaffa;barito;idn;21;df;7;616;1;;5;3;;2;5;2;9;;;;;17;;28;;4;254;201;;;5;4;9;2;
hasim kipuw;barito;idn;35;df;9;483;1;;2;2;;1;3;2;11;1;;;;16;1;11;;;157;116;;;1;2;3;;
rizki pora;barito;idn;33;fw;10;499;1;2;2;;;4;11;3;3;2;9;;;3;1;5;;5;166;108;;;4;1;5;;
bayu pradana;barito;idn;32;df;10;900;;1;10;3;;7;5;;13;;6;;;20;4;29;;1;352;303;;;1;4;5;1;
mike rigoberto ott;barito;phi;28;mf;10;819;;1;5;2;;;8;;14;1;8;;;10;;9;;2;293;235;;;3;5;8;4;
makan konate;barito;mal;31;fw;9;535;1;1;3;;;4;8;5;8;1;12;;;17;3;16;;4;256;216;;;4;0;4;1;
frendi saputra;barito;idn;31;df;9;752;1;;5;1;;6;4;2;9;;7;;;21;;44;1;4;291;206;;;1;3;4;2;
carlos alberto de murga;barito;phi;34;df;8;720;;;;3;;17;;;6;;6;;;5;2;23;;;235;211;;;1;1;2;2;
nazar nurzaidin;barito;idn;28;df;4;20;;;;1;;0;;;1;;;;;1;;3;;;20;14;;;;0;;1;
muhamad buyung ismu lessy;barito;idn;24;mf;7;148;;;;;;5;;;3;;;;;4;;4;;1;56;41;;;;3;3;1;
ilham yuzril mahendra;barito;idn;26;df;7;160;;;;;;2;;1;2;;;;;3;;6;;;71;63;;;;0;;1;
muhammad helmi;barito;idn;23;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
chris rumbiak;barito;idn;22;fw;5;31;;;;;;;;;3;;;;;2;;;;;15;12;;;;1;1;2;
muhamad firly;barito;idn;24;mf;3;100;;;;;;;;;;;;;;5;;1;;;43;34;;;;0;;;
yuswanto aditya;barito;idn;23;df;1;45;;;;;;1;;;1;;;;;1;;2;;;18;15;;;;0;;;
ferdiansyah;barito;idn;23;fw;1;1;;;;;;;;;;;;;;;;;;;;;;;;0;;;
afdal yusro;barito;idn;25;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
muhamad reza zuhro;barito;idn;19;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
alif jaelani;barito;idn;21;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
patrik alfredo womsiwor;barito;idn;22;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
alexandro felix kamuru;barito;idn;18;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
rahmat beri santoso;barito;idn;19;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
aditiya daffa al haqi;barito;idn;19;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
muhamad rafi syahril;barito;idn;23;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
mariyo fabiyo londok;barito;idn;26;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dhika bhayangkara;barito;idn;32;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
nor halid;barito;idn;26;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ega rizky;barito;idn;31;gk;10;900;;;;;;5;;;;;;3;10;1;;2;;;281;181;;31;;0;;;
m adi satryo;psis;idn;22;gk;8;707;;;;;;2;;;;;;3;7;;;;;;224;191;;26;;0;;;1
m rizky darmawan;psis;idn;29;gk;3;129;;;;;;1;;;;;;1;2;1;;;;;41;22;;9;;0;;2;
syaiful;psis;idn;30;gk;1;62;;;;;;;;;;;;;1;;;;;;19;14;;3;;0;;;
husein akbar alfauzi;psis;idn;18;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
brandon scheumman;psis;idn;18;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
azyah nur faizin madilesa;psis;idn;18;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
mohammad akrom;psis;idn;20;fw;1;10;;;;;;;;;;;;;;1;;;;;2;2;;;;0;;;
moh alamin syukur f;psis;idn;29;df;1;1;;;;;;;;;;;;;;;;1;;;1;1;;;;0;;;
ridho syuhada;psis;idn;19;mf;3;104;;;;;;;;;;;7;;;2;;3;;;28;24;;;;1;1;;
rizky dwi pangestu;psis;idn;24;fw;4;128;;;;;;1;;;2;2;;;;1;1;;;;26;18;;;;0;;;
fredyan wahyu;psis;idn;25;mf;6;384;;;;;;2;;;8;;;;;3;1;20;;;179;143;;;1;4;5;1;
carlos fortes;psis;por;29;fw;7;466;5;;;;;5;5;1;10;4;16;;;2;2;2;;2;118;83;1;;10;4;14;1;1
gali freitas;psis;tls;19;fw;9;620;4;4;;;;;8;9;14;3;12;;;20;;9;;1;190;150;;;13;2;15;4;
boubakary diara;psis;guy;30;mf;9;810;2;;9;1;;5;5;5;12;;18;;;31;;15;;3;261;209;;;2;3;5;3;
lucas gama;psis;bra;30;df;10;900;;1;2;7;;11;;;8;;;;;18;4;45;;;419;368;;;;1;1;1;
alfeanda dewangga;psis;idn;22;df;7;611;;;7;;;8;5;;8;;24;;;14;4;24;;3;304;206;;;;6;6;1;
m lutfi kamal;psis;idn;24;mf;6;347;;;5;1;;;;;9;;;;;10;2;9;;;138;121;;;2;3;5;3;1
wawan febrianto;psis;idn;29;mf;4;102;;;2;;;;;1;1;1;;;;3;1;2;;;35;22;;;;0;;;
bayu muhamad fiqri;psis;idn;22;df;7;505;;;5;3;;10;;1;11;;10;;;4;;15;;;192;153;;;;1;1;1;
gian zola;psis;idn;25;mf;5;196;;;2;;;;;;3;;;;;2;;2;;;51;40;;;;0;;1;
delfin rumbino;psis;idn;28;mf;7;199;;1;5;1;;2;;1;12;;;;;11;1;3;;;72;62;;;;1;1;1;
riyan ardiansyah;psis;idn;27;df;6;209;;1;;;;3;3;;2;1;6;;;8;;3;;2;60;44;;;3;1;4;1;
wahyu prasetyo;psis;idn;25;df;10;880;;1;;2;;42;5;2;6;;;;;18;1;42;;1;471;388;;;1;0;1;2;
septian david;psis;idn;27;mf;10;720;2;1;6;1;;4;3;;4;6;14;;;7;;4;;1;218;167;;;10;6;16;1;
taisei marukawa;psis;jpn;26;fw;9;706;1;3;;;;;16;5;7;1;22;;;10;;8;;4;215;138;;;3;5;8;1;
tri setiawan;psis;idn;19;mf;2;81;;;;3;;;;;4;;;;;3;;3;;;39;34;;;;1;1;1;
giovani jorim;psis;idn;23;df;9;654;1;;2;;;27;2;3;10;1;;;;34;;25;;3;262;202;;;2;1;3;1;
muhamad haykal alhafiz;psis;idn;22;mf;4;99;;;;;;3;;;1;;;;;3;1;2;;;49;35;;;;1;1;;
victor guilherme;psis;bra;30;fw;3;155;;;;;;1;4;2;3;1;5;;;4;;3;;;45;26;;;1;2;3;;
m reza arya pratama;psm;idn;23;gk;9;810;;;;;;1;;;;;;4;9;;;1;;;173;91;;27;;0;;;
muhammad ardiansyah;psm;idn;20;gk;1;90;;;;;;;;;1;;;0;2;;;;;;12;10;;1;;0;;;
harlan suardi;psm;idn;24;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
syamil b irawan;psm;idn;18;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
raka octa;psm;idn;19;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
edgard amping;psm;idn;20;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
m daffa salman;psm;idn;21;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
sulthan zaky razak;psm;idn;17;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
moch sandy ferizal;psm;idn;24;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
enrique linares;psm;phi;24;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
m mufli hidayat;psm;idn;18;mf;1;16;;;;;;1;;;;;;;;;;;;;5;3;;;;0;;;
rasyid assahid bakri;psm;idn;32;mf;1;1;;;;;;;;;;;;;;1;;;;;3;2;;;;0;;;
ricky pratama;psm;idn;20;fw;3;57;;;;;;;;;1;;;;;;;;;;12;9;;;2;0;2;;
adil nur bangsawan;psm;idn;19;mf;2;14;;;;;;;;;1;;;;;;;1;;;7;5;;;;0;;;
rizky pellu;psm;idn;31;mf;3;9;;;;;;;;;1;;;;;;;;;;;;;;;0;;1;
donald bissa;psm;idn;32;fw;3;26;;;;;;1;;;;;;;;;;;;;7;5;;;;0;;;
kenzo nambu;psm;jpn;31;mf;10;716;5;;2;1;;;4;2;7;;6;;;13;;22;;;121;102;;;7;8;15;2;
everton nascimento;psm;bra;30;fw;9;644;1;1;1;;;6;8;2;8;3;22;;;5;4;6;;;129;90;;;3;7;10;3;
rizky eka pratama;psm;idn;24;mf;9;267;1;;;;;3;;4;2;;;;;8;1;10;;2;72;54;;;2;1;3;;
akbar tanjung;psm;idn;30;mf;9;810;;1;8;4;;6;4;;16;;;;;12;;14;;1;197;147;;;;3;3;3;
yuran fernandes;psm;por;29;df;10;900;1;1;;;;20;4;;3;2;9;;;16;2;54;1;;277;200;1;;4;5;9;2;
willem pluim;psm;ned;34;mf;9;728;1;1;6;3;;1;5;2;6;1;19;;;1;9;6;;4;230;154;;;6;4;10;3;
yance sayuri;psm;idn;26;mf;10;900;1;1;9;;;27;16;3;13;1;7;;;24;;47;;4;336;222;;;5;4;9;1;
yakob sayuri;psm;idn;26;mf;10;817;;;6;;;8;6;8;13;1;7;;;33;1;34;;3;235;159;;;3;16;19;;
ananda raehan;psm;idn;20;mf;6;330;;;5;;;2;;;14;;;;;10;;8;;;107;84;;;;3;3;2;
arfan;psm;idn;27;mf;8;603;;;4;;;3;7;;11;;9;;;11;1;13;;1;137;101;;;1;3;4;2;
m dzaki asraf;psm;idn;20;mf;6;359;;;3;1;;3;4;5;9;;6;;;9;1;13;;2;104;78;;;;3;3;2;1
safrudin tahar;psm;idn;30;df;8;615;;;2;2;;18;;;9;;5;;;13;3;17;;;165;114;;;;1;1;2;1
victor jonson;psm;idn;19;mf;8;301;1;1;;1;;7;;2;3;;;;;13;;8;;;48;92;;;1;1;2;2;1
muhammad andy harjito;psm;idn;22;fw;6;25;1;;;;;;;;2;;;;;;;;;;9;6;;;1;0;1;;
erwin gutawa;psm;idn;31;df;6;426;;;;5;;5;;;6;1;;;;16;2;21;;;129;91;;;;1;1;1;1
adilson gancho;psm;por;26;fw;8;364;;;;1;;2;6;3;8;2;10;;;3;6;5;;3;83;49;;;1;4;5;1;
anthony pinthus;pss;phi;25;gk;10;900;;;;;;1;;;;;;3;15;1;1;;;;219;145;;31;;0;;;
safaat arif alan romadhona;pss;idn;21;gk;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dimas fani firmansyah;pss;idn;23;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
m ridwan;pss;idn;32;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dave mustain;pss;idn;31;mf;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dominikus dion wibowo;pss;idn;19;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
m fariz;pss;idn;19;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
kevin gomes de oliveira;pss;idn;25;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
arlan agma dinata;pss;idn;21;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
derry rachman;pss;idn;29;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ifan nanda pratama;pss;idn;22;df;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
sadam gaffar;pss;idn;22;fw;0;0;;;;;;;;;;;;;;;;;;;2;1;;;;0;;;
hariz tuharea;pss;idn;30;fw;1;5;;;;;;;;;;;;;;;;;;;;;;;;0;;;
rezin diop wamu;pss;idn;21;mf;1;6;;;;;;;;;;;;;;;;;;;4;4;;;;0;;;
irkham mila;pss;idn;25;mf;2;67;;;;;;;;;1;;;;;1;;;;2;19;14;;;;1;1;;
bayu setiawan;pss;idn;25;df;5;405;;;;;;12;;;8;;;;;5;;18;;4;160;117;;;;1;1;2;
ricky cawor;pss;idn;25;fw;9;532;4;1;2;;;1;4;2;14;5;10;;;14;1;5;;;96;64;;;9;2;11;2;
jonathan bustos;pss;arg;29;mf;9;763;3;2;8;1;;1;20;6;11;2;36;;;11;;14;;6;404;302;;;5;4;9;5;
jihad ayoub;pss;leb;28;mf;9;810;3;2;7;5;;22;5;;16;;17;;;14;7;27;;2;312;251;1;;6;9;15;4;
rivaldo todd fere;pss;idn;25;mf;5;84;;1;;;;;1;;;;;;;;;1;;;20;14;;;;0;;;
kim jeffrey kurniawan;pss;idn;33;mf;10;900;;1;9;3;;6;5;;7;;7;;;25;;32;;2;329;295;;;3;3;6;;
abduh lestaluhu;pss;idn;30;mf;5;450;;1;2;2;;7;6;2;;2;;;;9;2;13;;2;222;159;;;;0;;;
yevhen bokashvili;pss;ukr;30;fw;8;399;;1;;1;;4;3;3;8;;11;;;;2;1;;;102;68;;;1;2;3;2;
kei sano;pss;jpn;31;mf;8;605;2;;3;3;;4;2;6;9;1;18;;;19;3;18;;2;170;111;;;5;4;9;3;1
thales natanael;pss;bra;30;df;10;900;1;;4;10;;46;;;17;;10;;;18;9;46;;;328;276;;;5;5;10;3;
riki dwi saputro;pss;idn;28;fw;6;195;1;;2;;;1;2;;5;1;;;;2;2;1;;;46;335;;;1;2;3;1;
hokky caraka;pss;idn;19;fw;9;413;1;1;3;;;;4;;19;4;;;;3;;7;;2;92;65;;;2;4;6;3;
wahyudi setiawan;pss;idn;26;mf;9;730;1;;6;2;;10;2;;31;1;10;;;34;2;24;;;250;197;;;1;4;5;6;1
leo tumpamahu;pss;idn;40;df;5;129;;;;3;;3;;;2;;;;;1;;5;;;52;44;;;;0;;;
nur diansyah;pss;idn;25;df;2;71;;;;1;;2;;;2;;;;;;;3;;;33;24;;;;0;;;
i nyoman nikson;pss;idn;22;df;6;495;;;;;;15;;;9;;;;;13;;9;;3;146;107;;;;0;;1;
esteban viscara;pss;idn;37;fw;10;523;;;;;;3;;1;12;5;11;;;7;;8;;3;135;101;;;1;4;5;2;
ibrahim sanjaya;pss;idn;26;df;5;450;;;;;;8;;1;4;;6;;;11;1;14;;;211;163;;;;0;;;
try hamdani;rans;idn;29;gk;3;269;;;;;;1;;;1;;;;3;;;;;;72;49;;9;;0;;;1
hilmansyah;rans;idn;26;gk;7;630;;;;;;2;;;;;;3;6;;;;;;175;110;;18;;0;;;
fiqri;rans;idn;20;gk;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
wahyudi;rans;idn;25;gk;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
meru kimura;rans;idn;22;df;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
hamka hamzah;rans;idn;39;df;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
kenshiro michael daniel;rans;phi;28;mf;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
muhammad syukron;rans;idn;26;df;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
m aqsal mustofa;rans;idn;22;mf;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
rabani tasnim;rans;idn;20;fw;1;20;;;;;;;;;;;;;;;;;;;;;;;;1;1;;
kushedi yudo;rans;idn;30;fw;5;29;;;;;;;;;1;;;;;;;;;;9;5;;;;0;;;
muhammad irman;rans;idn;24;fw;8;214;;;;;;;;;11;1;;;;;;3;;1;39;30;;;2;4;6;2;
octavio alexandre;rans;bra;30;fw;9;799;4;;4;2;;8;11;;34;5;23;;;21;9;13;;3;230;142;;;8;9;17;2;
evandro elmer brandao;rans;por;32;fw;8;706;1;;;1;;4;3;7;14;7;16;;;8;10;;;;177;127;;;4;8;12;2;
irfan;rans;idn;22;fw;7;142;;;;;;2;;;8;;;;;6;1;2;;2;47;31;;;;1;1;1;
abdul rahman;rans;idn;22;fw;7;412;1;;4;;;1;;1;7;;16;;;9;2;5;;2;95;68;;;5;7;12;1;
mitsuru maruoka;rans;jpn;27;mf;10;889;4;1;9;;;3;18;3;11;3;20;;;13;1;19;;5;374;273;3;;12;8;20;2;
angelo rafael texeira;rans;por;30;df;10;900;1;2;1;6;;29;5;;14;;10;;;27;9;46;;;322;241;;;3;5;8;1;
zidane pramudya;rans;idn;21;mf;2;104;1;;;1;;;;;2;;;;;2;;7;;1;32;23;;;1;0;1;1;
samsul arifin;rans;idn;31;df;3;56;;1;;;;;1;;;;;;;1;;1;;;23;17;;;;0;;1;
dallen ramadhan;rans;idn;25;df;6;364;;1;3;;;17;;;7;;;;;6;;19;;;172;132;;;;0;;3;
paulo sitanggang;rans;idn;27;mf;10;834;;;14;1;;4;4;;25;;9;;;28;2;25;;;239;202;;;;5;5;2;
ilham syah;rans;idn;24;mf;8;425;;;5;1;;;;;9;;;;;14;;11;;;124;103;;;1;1;2;1;
fransisco pereira;rans;por;23;df;10;900;;;3;3;;34;3;;12;;9;;;14;8;48;;;294;254;;;;3;3;2;
taufik hidayat;rans;idn;30;df;10;812;;;2;;;13;3;;10;;7;;;25;4;28;;2;342;236;;;;2;2;1;
muhamad fadilla akbar;rans;idn;21;mf;3;100;;;1;;;1;;1;1;;;;;2;;6;;;47;38;;;;0;;;
marckho sandi;rans;idn;28;df;8;507;;;;1;;14;6;1;7;;8;;;11;1;12;;7;263;191;;;;1;1;4;
arif satria;rans;idn;27;df;5;63;;;;1;;4;;;2;;;;;1;;4;;;26;21;;;;1;1;;
erwin ramdani;rans;idn;30;fw;4;228;;;;;;1;3;;2;1;6;;;2;;3;;2;79;61;;;;2;2;1;1
antoni putro nugroho;rans;idn;29;fw;10;499;;;;;;3;6;1;8;1;;;;8;;3;;6;160;112;;;1;5;6;;
